,dateGame,idGame,idTeamA,A,teamA,B,teamB,AisWin,timedif,,time,
,2008/4/11,,,,,,,,100,2008/7/20,,
,2008/7/20,,,,,,,,0,2008/7/20,0,
3,2008/10/28,20800001,1610612738,2,BOS,3,CLE,TRUE,100,2008/7/20,0.024900398,
1,2008/10/28,20800002,1610612741,5,CHI,13,MIL,TRUE,100,2008/7/20,0.024900398,
6,2008/10/28,20800003,1610612747,11,LAL,21,POR,TRUE,100,2008/7/20,0.024900398,
30,2008/10/29,20800004,1610612737,1,ATL,17,ORL,TRUE,101,2008/7/20,0.025149402,
27,2008/10/29,20800014,1610612740,4,NOH,8,GSW,TRUE,101,2008/7/20,0.025149402,
9,2008/10/29,20800012,1610612745,9,HOU,27,MEM,TRUE,101,2008/7/20,0.025149402,
25,2008/10/29,20800015,1610612747,11,LAL,10,LAC,TRUE,101,2008/7/20,0.025149402,
28,2008/10/29,20800010,1610612749,13,MIL,24,OKC,TRUE,101,2008/7/20,0.025149402,
8,2008/10/29,20800009,1610612750,14,MIN,22,SAC,TRUE,101,2008/7/20,0.025149402,
17,2008/10/29,20800006,1610612751,15,NJN,28,WAS,TRUE,101,2008/7/20,0.025149402,
7,2008/10/29,20800007,1610612752,16,NYK,12,MIA,TRUE,101,2008/7/20,0.025149402,
20,2008/10/29,20800011,1610612756,20,PHX,23,SAS,TRUE,101,2008/7/20,0.025149402,
12,2008/10/29,20800005,1610612761,25,TOR,19,PHI,TRUE,101,2008/7/20,0.025149402,
10,2008/10/29,20800013,1610612762,26,UTA,7,DEN,TRUE,101,2008/7/20,0.025149402,
22,2008/10/29,20800008,1610612765,29,DET,18,IND,TRUE,101,2008/7/20,0.025149402,
36,2008/10/30,20800016,1610612739,3,CLE,30,CHA,TRUE,102,2008/7/20,0.025398406,
35,2008/10/30,20800018,1610612740,4,NOH,20,PHX,TRUE,102,2008/7/20,0.025398406,
33,2008/10/30,20800017,1610612745,9,HOU,6,DAL,TRUE,102,2008/7/20,0.025398406,
50,2008/10/31,20800022,1610612738,2,BOS,5,CHI,TRUE,103,2008/7/20,0.02564741,
43,2008/10/31,20800024,1610612743,7,DEN,10,LAC,TRUE,103,2008/7/20,0.02564741,
38,2008/10/31,20800021,1610612748,12,MIA,22,SAC,TRUE,103,2008/7/20,0.02564741,
42,2008/10/31,20800019,1610612755,19,PHI,16,NYK,TRUE,103,2008/7/20,0.02564741,
41,2008/10/31,20800025,1610612757,21,POR,23,SAS,TRUE,103,2008/7/20,0.02564741,
45,2008/10/31,20800020,1610612761,25,TOR,8,GSW,TRUE,103,2008/7/20,0.02564741,
48,2008/10/31,20800023,1610612763,27,MEM,17,ORL,TRUE,103,2008/7/20,0.02564741,
72,2008/11/1,20800026,1610612737,1,ATL,19,PHI,TRUE,104,2008/7/20,0.025896414,
59,2008/11/1,20800033,1610612740,4,NOH,3,CLE,TRUE,104,2008/7/20,0.025896414,
68,2008/11/1,20800034,1610612741,5,CHI,27,MEM,TRUE,104,2008/7/20,0.025896414,
60,2008/11/1,20800032,1610612742,6,DAL,14,MIN,TRUE,104,2008/7/20,0.025896414,
53,2008/11/1,20800031,1610612744,8,GSW,15,NJN,TRUE,104,2008/7/20,0.025896414,
66,2008/11/1,20800035,1610612745,9,HOU,24,OKC,TRUE,104,2008/7/20,0.025896414,
71,2008/11/1,20800037,1610612747,11,LAL,7,DEN,TRUE,104,2008/7/20,0.025896414,
69,2008/11/1,20800029,1610612753,17,ORL,22,SAC,TRUE,104,2008/7/20,0.025896414,
